title,description,url,content,category,tokens,topic
Apple stock surges to record high after AI announcements - Yahoo Finance,Apple stock rose to a new intraday record high on Tuesday as investors digested the company's announcement of Apple Intelligence.,https://finance.yahoo.com/news/apple-stock-surges-to-record-high-after-ai-announcements-150325922.html,"Apple's (AAPL) stock surged 7% on Tuesday to reach a record-high close for the first time in 2024 as investors digested the announcement of its AI platform, Apple Intelligence. 
After the stock fell… [+3539 chars]",technology,"['apple', 'aapl', 'stock', 'surged', '7', 'tuesday', 'reach', 'close', 'first', 'time', '2024', 'investors', 'digested', 'announcement', 'ai', 'platform', 'apple', 'intelligence', 'stock', 'chars']",technology
Google's Pixel 8 series gets USB-C to DisplayPort; desktop mode rumors heat up - Ars Technica,Grab a USB-C to DisplayPort cable and newer Pixels can be viewed from your TV or monitor.,https://arstechnica.com/gadgets/2024/06/googles-pixel-8-series-finally-supports-displayport/,"44
Google's June Android update is out, and it's bringing a few notable changes for Pixel phones. The most interesting is that the Pixel 8a, Pixel 8 and Pixel 8 Pro are all getting DisplayPort Alt M… [+1974 chars]",technology,"['44', 'google', 'june', 'android', 'update', 'bringing', 'notable', 'changes', 'pixel', 'phones', 'interesting', 'pixel', '8a', 'pixel', '8', 'pixel', '8', 'pro', 'getting', 'displayport', 'alt', 'chars']",technology
20 Minutes of Kunitsu-Gami: Path of the Goddess Gameplay | Summer Game Fest 2024 - GameSpot,,https://www.youtube.com/watch?v=gkF850G-zzY,"Your browser isnt supported anymore. Update it to get the best YouTube experience and our latest features. Learn more
Remind me later",technology,"['browser', 'isnt', 'supported', 'anymore', 'update', 'get', 'best', 'youtube', 'experience', 'latest', 'features', 'learn', 'remind', 'later']",technology
Apple brings free call recording and transcription to iPhones; journalists rejoice - Nieman Journalism Lab at Harvard,"""There are decades where nothing happens, and there are weeks when decades happen.""",https://www.niemanlab.org/2024/06/apple-brings-free-call-recording-and-transcription-to-iphones-journalists-rejoice/,,technology,[],technology
The Pixel Watch 2 can now detect when you've been in a car crash - The Verge,"Google is updating the Pixel Watch lineup’s safety features, with car crash detection for the Pixel Watch 2 and improved fall detection for bikes on both watches.",https://www.theverge.com/2024/6/11/24176081/google-pixel-watch-crash-fall-detection-paypal-smartwatch-wearables,"The Pixel Watch 2 can now detect when youve been in a car crash
The Pixel Watch 2 can now detect when youve been in a car crash
 / Improved fall detection, PayPal in Google Wallet, and the Google H… [+2045 chars]",technology,"['pixel', 'watch', '2', 'detect', 'youve', 'car', 'crash', 'pixel', 'watch', '2', 'detect', 'youve', 'car', 'crash', 'improved', 'fall', 'detection', 'paypal', 'google', 'wallet', 'google', 'chars']",technology
"The Light Phone 3 adds a better screen, a camera, and new ways to replace your smartphone - The Verge","Light’s minimalist smartphones have been a success for years, and now the company is adding features like an OLED screen, a camera, and NFC to appeal to more people.",https://www.theverge.com/2024/6/11/24176026/light-phone-3-launch-price-release-date,"The Light Phone 3 is a little less light but a lot more useful
The Light Phone 3 is a little less light but a lot more useful
 / Striking the right balance for a minimalist phone is hard, and somet… [+5511 chars]",technology,"['light', 'phone', '3', 'little', 'less', 'light', 'lot', 'useful', 'light', 'phone', '3', 'little', 'less', 'light', 'lot', 'useful', 'striking', 'right', 'balance', 'minimalist', 'phone', 'hard', 'chars']",technology
Treyarch discusses how being on Game Pass is impacting Black Ops 6’s development - Video Games Chronicle,"With an influx of new players expected, the studio wants to make the game as accessible as possible…",https://www.videogameschronicle.com/news/treyarch-discusses-how-being-on-game-pass-is-impacting-black-ops-6s-development/,"Treyarch has discussed how Black Ops 6s inclusion on Game Pass is impacting the final stretch of the new Call of Duty games development.
Microsoft announced at the end of May that Black Ops 6 will b… [+2481 chars]",technology,"['treyarch', 'discussed', 'black', 'ops', '6s', 'inclusion', 'game', 'pass', 'impacting', 'final', 'stretch', 'new', 'call', 'duty', 'games', 'development', 'microsoft', 'announced', 'end', 'may', 'black', 'ops', '6', 'chars']",technology
Microsoft's Copilot Pro subscription is losing a feature. - The Verge,,https://www.theverge.com/2024/6/11/24175943/microsofts-copilot-pro-subscription-is-losing-a-feature,"Posted Jun 11, 2024 
At 11:20 AM UTC
Microsofts Copilot Pro subscription is losing a feature.
Microsofts $20 monthly subscription for Copilot Pro will no longer have GPT Builder next month the fea… [+194 chars]",technology,"['posted', 'jun', '11', '2024', 'utc', 'microsofts', 'copilot', 'pro', 'subscription', 'losing', 'feature', 'microsofts', '20', 'monthly', 'subscription', 'copilot', 'pro', 'longer', 'gpt', 'builder', 'next', 'month', 'chars']",technology
BioWare Confirms More Dragon Age: The Veilguard Details Ahead of Gameplay Reveal - IGN,"BioWare has confirmed more information on Dragon Age: The Veilguard ahead of the RPG's hotly anticipated gameplay reveal today, June 11.",https://www.ign.com/articles/bioware-confirms-more-dragon-age-the-veilguard-details-ahead-of-gameplay-reveal,"BioWare has confirmed more information on Dragon Age: The Veilguard ahead of the RPG's hotly anticipated gameplay reveal today, June 11.
As spotted by Dragon Age YouTuber Jackdaw, BioWare posted a n… [+2865 chars]",technology,"['bioware', 'confirmed', 'information', 'dragon', 'age', 'veilguard', 'ahead', 'rpg', 'hotly', 'anticipated', 'gameplay', 'reveal', 'today', 'june', 'spotted', 'dragon', 'age', 'youtuber', 'jackdaw', 'bioware', 'posted', 'chars']",technology
iOS 18 RCS rollout coming in the fall to bridge Apple & Android messaging gap - AppleInsider,Apple is set to replace an aging texting protocol with a newer one to enhance compatibility with Android. Here's when it will roll out.,https://appleinsider.com/articles/24/06/10/ios-18-rcs-rollout-coming-in-the-fall-to-bridge-apple-android-messaging-gap,"RCS support will be added to the iPhone sometime in 2024
Apple is set to replace an aging texting protocol with a newer one to enhance compatibility with Android. Here's when it will roll out.
RCS,… [+1383 chars]",technology,"['rcs', 'support', 'added', 'iphone', 'sometime', '2024', 'apple', 'set', 'replace', 'aging', 'texting', 'protocol', 'newer', 'one', 'enhance', 'compatibility', 'android', 'roll', 'rcs', 'chars']",technology
Key takeaways from Apple's WWDC - CNBC Television,"Wealth Enhancement's Ayako Yoshioka, CIC Wealth's Malcolm Ethridge, and Big Tech's Alex Kantrowitz join 'Closing Bell' to discuss their takeaways from Apple'...",https://www.youtube.com/watch?v=WzJFFcoJ9OQ,,technology,[],technology
"Apple Unveils Calculator App for iPad With Math Notes, Apple Pencil Support - MacRumors",Apple at WWDC today announced a new Calculator app as part of iPadOS 18 that features special Apple Pencil support and a new Math Notes feature.  ...,https://www.macrumors.com/2024/06/10/apple-calculator-ipad-apple-pencil/,"Apple at WWDC today announced a new Calculator app as part of iPadOS 18 that features special Apple Pencil support and a new Math Notes feature.
Apple says the Math Notes calculator allows users to … [+975 chars]",technology,"['apple', 'wwdc', 'today', 'announced', 'new', 'calculator', 'app', 'part', 'ipados', '18', 'features', 'special', 'apple', 'pencil', 'support', 'new', 'math', 'notes', 'feature', 'apple', 'says', 'math', 'notes', 'calculator', 'allows', 'users', 'chars']",technology
